X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE
-122.28323030579,47.455442576717,1303,1327,0000000,600,McMicken Heights Park,McMicken Heights Park,S 166th St & 40th Ave S,98188
-122.210476744735,47.5775797295962,1304,547,187602,180,Mercer Island City Hall,Mercer Island CH,9611 SE 36th,98040
-122.294044415619,47.4457201529418,1305,1803,402127,360,Quality Inn at Seatac,Quality Inn at Seatac,3000 S 176th St,98188
-122.323983915456,47.5988938928659,1306,1914,794002,480,Wing Luke Asian Museum,Wing Luke Asian Museum,8th Ave S & S King St,98104
-122.303256260469,47.3326255940103,1307,105,0000000,600,Wildwood Park - Federal Way,Wildwood Park in Federal Way,23rd Ave S & S 300th St,00000
-122.180693021953,47.7685993514516,1308,1615,177415,330,Kaiser Permanente - Northshore ,Kaiser Permanente - Northshore ,11913 NE 195th St,98011
-122.310499284891,47.7333450681729,1309,2273,770339,530,North Seattle QFC,North Seattle QFC,1531 NE 145th St,98155
-122.33884075767,47.6087020246769,1310,1727,832894,60,Newmark Bldg,Newmark Bldg,1401 2nd Ave,98101
-122.385513882935,47.58204172353,1311,2297,465424,530,Bartell Drugs-Admiral,Bartell Drugs-Admiral,2345 42nd Ave SW,98116
-122.369327781759,47.5132022774354,1312,6600488,528088,661,Explorer West Middle School,Exlplorer West,10015 28th Ave SW,98146
-122.360306807922,47.5723806905768,1313,1775,0000000,630,Pier 7,Pier 7,W Marginal Way SW & SW Spokane St,00000
-122.036988292239,47.4743179533336,1314,904034,0000000,904,Trinity Tree Farm,Trinity Tree Farm,14237 228th Avenue,98027
-122.504538007433,47.331898527952,1315,10000004,408867,66,Station 57,57,30223 131st Ave SW,98070
-122.255518215321,47.4632055167216,1316,2639,607737,61,Tukwila Municipal Court,Tukwila Municipal Court,6200 Southcenter Blvd,98188
-122.300914596136,47.4424106061414,1317,650021,894588,65,Port of Seattle Police,Port of Sea PD,17801 International Blvd,98158
-122.27530896345,47.6680288864084,1318,902069,344852,902,Cycle University-Sand Point,Cycle University,5440 Sand Point Way NE,98105
-122.350892211414,47.6911700202625,1319,902030,256876,902,Pedal Dynamics,Pedal Dynamics,8520 Evanston Ave N,98103
-122.178708118521,47.7158089435532,1320,67005,39289,67,Redmond Medic 23,Redmond Medic 23,12040 NE 128th St,98034
-122.055554993262,47.3577933404526,1321,902107,975421,902,Bike Masters and Boards,Bike Masters and Boards,27203 216th Ave SE,98038
-122.113701346202,47.7033449843229,1322,660162,367578,66,Station 17,17,16917 NE 116 St,98105
-122.082365428378,47.4502543822544,1323,10000031,9256,66,Station 84,84,16855 194th Ave SE,98058
-122.122551291016,47.540321288025,1324,6005011,0000000,600,Cougar Ridge West Open Space,Cougar Ridge West Open Space,West Lake Sammamish Pkwy and 182nd Ave SE,00000
-121.129835369348,47.7670179913274,1325,6002775,0000000,600,Henry Jackson Wilderness,Henry Jackson Wilderness,340th Ave NE to 564th Ave NE and NE 205th St to SE 80th St,00000
-122.338238422438,47.6098675908511,1326,1703,839525,60,Melbourne Tower,Melbourne Tower,1511 3rd Ave,98101
-122.220079574553,47.2694360516319,1327,6002368,0000000,600,Roegner Park,Roegner Park,601 Oravetz Rd,98092
-122.042000439275,47.3371473340426,1328,573,0000000,600,Lake Sawyer Park,Lake Sawyer Park,SE 296th St,98010
-122.222465751353,47.4742513770114,1329,1580,987083,63,Renton Worksource,Renton Worksource,500 SW 7th St,98057
-122.317062208935,47.6760750312305,1330,2050,333328,530,Bartell Drugs-Roosevelt,Bartell Drugs-Roosevelt,6500 Roosevelt Way NE,98115
-122.290212006457,47.6897855016771,1331,2277,748021,530,Wedgwood QFC,Wedgwood QFC,8400 35th Ave NE,98115
-122.242153902257,47.4484336686534,1332,6002974,0000000,600,Interurban Trail Site - Tukwila,Interurban Trail Site - Tukwila,S 156th St and Nelson Pl to 74th Ave S and S 180th St,98188
-122.214250986788,47.4427189613552,1333,693,597748,330,UW Medicine Valley Medical Center,Valley Medical Center,400 SW 43rd St,98055
-122.212463218814,47.4920297484558,1334,667,0000000,600,Cedar River Trail,Cedar River Trail,N Riverside Trail & N 6th St,98057
-122.301641013918,47.6503440659299,1335,2000,13896,240,Husky Stadium,Husky Stadium,3800 Montlake Blvd NE,98195
-122.337642070948,47.4661855155703,1336,911,797757,720,Foote E B Winery,Foote E B Winery,9354 4th Ave S,98166
-122.407399687926,47.577302797944,1337,2344,468616,600,Alki Community Center,Kennydale Freeway Station,5817 SW Stevens St,98116
-122.20184918498,47.3685236548606,1338,2648,669345,330,Kaiser Permanente - Kent,Kaiser Permanente - Kent,26004 104th Ave SE,98030
-122.220146444565,47.3311475946316,1339,2756,692335,63,Auburn Worksource,Auburn Worksource,2707 I St NE,98002
-122.353985176565,47.5482086587377,1340,2763,763569,63,South Seattle CC Worksource,South Seattle CC Worksource,6000 16th Ave NE,98106
-122.277575487395,47.5501166711723,1341,2640,488036,210,Department of Licensing-Rainier valley,DOL - Rainier Valley,5811 Rainier Ave S,98118
